subject,Particular Scenario No#,answer,explanation,version,embed_level,question_id,category: Lily (2+3),Zach (3+4),Yuchen (4+1),Mira (1+2),code
1,1,sincere,It depends on other interactions between them but she says that she loves it - the omg could be saracastic though,1,b,1b,,,D+I,I,I
1,2,sincere,It's a funny answer not sarcastic,1,c,2c,,,D,O,D
1,3,sincere,she's trying to protect his feelings,1,a,3a,,,D+I,S,S
1,4,sarcastic,although Margaret is scared of dogs the puppy is small and so not scary,1,b,4b,,,I,O,O
1,5,sincere,Although intended as sarcastic Eric wouldn't have known about the conflict so will have interpreted as sincere,1,c,5c,,,R,R,R
1,6,sarcastic,As the argument has been Davids only exposure to the brothers it will probably be interpreted as sarcastic,1,a,6a,,,R,R,R
1,7,sincere,Ana still thinks he is a good person,1,a,7a,,,S,S,S
1,8,sincere,She still had a nice trip even though it didn't turn out the way she'd hoped,1,b,8b,,,I,S,S
2,9,sincere,"They care about each other, it sounded sincere and Olivia wouldn't have reason to believe it sarcastic.",2,a,1a,,,D+I,R,R
2,10,sincere,This is neither sincere or sarcastic. It's hyperbole.,2,b,2b,,,O,D,O
2,11,sincere,He doesn't know he used salt by accident.,2,b,3b,,,R,R,R
2,12,sarcastic,"Most people think he's cute, so Julia would read it as a joke and she's new, she doesn't know Margaret that well.",2,c,4c,,,D+I,R,R
2,13,sincere,"Not entirely sure though, it depends on if Eric noted the sotto voce scoff.",2,a,5a,,,O,R,R
2,14,sarcastic,"He saw them fight, so he has insight others don't, which Jeremy knows.",2,b,6b,,,R,R,R
2,15,sarcastic,"Ken doesn't know all of what's gone on since their break up, but presumably knows (common knowledge that their relationship ended with ""a very dramatic fight"".",2,c,7c,,,R,R,R
2,16,sincere,"Almost everything that happened here took place inside May's head, and wasn't articulated, so why would Elizabeth have reason to think it was sarcasm?",2,c,8c,,,R,R,R
3,17,sincere,"Olivia can't read Alice's mind, so it doesn't come across as sarcastic.",0,c,1c,,,R,R,R
3,18,sincere,It's not sarcastic it's hyperbole,0,a,2a,,,O,O,O
3,19,sarcastic,"It seems sarcastic because of the reference to sweetness, which was missing due to the lack of sugar.",0,c,3c,,,D,D,D
3,20,sarcastic,"Because puppies aren't typically seen as scary, so it seems more like a joke",0,a,4a,,,I,I,I
3,21,sincere,"He didn't let on to Eric that he didn't like it, unlikely Eric would think otherwise",0,b,5b,,,R,R,R
3,22,sarcastic,"David has just seen them have a heated fight, so it comes across sarcastically",0,c,6c,,,R,R,R
3,23,sincere,"Tough to say, but not enough context to make it seem sarcastic",0,b,7b,,,I,R,R
